mmsi,latitude,longitude,start_timestamp,end_timestamp,median_speed_knots,total_event_duration_hours,illegal
256064000,12.79380035,-69.50323486,2017-09-06T02:11:32Z,2017-09-06T15:44:15Z,1.091064669,13.91555556,TRUE
354240000,27.23595619,34.973526,2012-08-12T04:13:42Z,2012-08-12T09:44:52Z,1.46209272,14.67625,TRUE
352864000,24.53949928,-20.93600082,2012-03-18T13:12:01Z,2012-03-19T05:39:30Z,1.509728308,17.98444444,TRUE
273894400,47.78205109,140.6487732,2012-05-25T19:03:24Z,2012-05-26T00:05:37Z,1.590606487,9.708888889,TRUE
273310720,60.11148071,168.9271393,2015-07-08T18:04:39Z,2015-07-09T01:04:53Z,1.086760358,8.542777778,TRUE
277312000,5.347099781,1.751766682,2014-03-08T16:40:45Z,2014-03-09T00:08:45Z,0.835112774,11.035,TRUE
374048000,-28.01213264,-150.9837494,2015-08-17T10:25:19Z,2015-08-18T00:58:11Z,1.501455979,14.82277778,TRUE
306752000,4.634224892,-3.716434956,2016-12-04T18:00:43Z,2016-12-05T01:59:02Z,1.294447368,8.269305556,TRUE
351776000,1.00606668,-117.1455841,2014-04-30T17:09:32Z,2014-05-01T00:42:06Z,1.024815464,9.159722222,TRUE
354464000,-50.92549896,-62.72966766,2013-05-01T02:36:56Z,2013-05-01T07:34:53Z,1.100235654,11.35902778,TRUE
529120000,9.470174789,103.1137848,2014-03-02T23:54:22Z,2014-03-03T04:26:53Z,0.350754428,8.73,TRUE
273351170,57.05741882,149.4579468,2014-03-21T14:24:43Z,2014-03-21T23:57:25Z,1.440667776,11.1325,TRUE
273356290,56.04117203,143.3835144,2015-11-11T15:06:11Z,2015-11-11T21:34:50Z,1.03019425,8.772222222,TRUE
214182402,52.33723068,-5.678348541,2014-06-17T15:11:19Z,2014-06-17T23:43:57Z,1.677693918,9.458055556,TRUE
273431300,61.25321198,174.7315369,2016-05-21T03:01:51Z,2016-05-21T15:59:31Z,0.356142618,13.06402778,TRUE
273252100,68.64974976,39.56779861,2015-07-08T06:41:25Z,2015-07-08T12:40:24Z,1.619972974,8.382361111,TRUE
273847300,53.28201675,155.4937134,2013-02-17T05:01:02Z,2013-02-18T01:23:30Z,0.931706649,21.78958333,TRUE
636092421,24.12887001,-19.71818924,2015-06-11T15:14:44Z,2015-06-12T02:46:46Z,1.872559118,11.84763889,TRUE
636092422,-15.15766621,-80.78700256,2015-11-24T13:06:54Z,2015-11-25T02:09:04Z,0.805949676,13.64166667,TRUE
636092423,4.743183136,-0.171694994,2016-09-19T04:29:47Z,2016-09-19T11:59:00Z,0.943204551,10.55722222,TRUE
352533000,42.14783478,141.9855194,2014-10-13T17:28:13Z,2014-10-13T23:00:14Z,0.795911851,9.501111111,TRUE
245973000,-12.18914318,12.01406193,2016-10-24T15:05:49Z,2016-10-25T00:03:04Z,1.71591827,9.954444444,TRUE
576277000,-3.530833244,-179.64534,2013-12-26T16:22:33Z,2013-12-26T23:53:33Z,1.269148286,8.567916667,TRUE
352085000,-44.89405823,-59.09967422,2016-04-23T01:00:02Z,2016-04-23T10:59:11Z,0.857234524,10.12208333,TRUE
577077000,4.091216564,-173.503479,2014-04-21T06:04:35Z,2014-04-21T13:33:45Z,0.482761734,9.194305556,TRUE
212373000,27.01135063,-15.38817692,2017-02-24T16:23:22Z,2017-02-25T00:51:14Z,1.530872118,8.803333333,TRUE
355317000,39.8854866,148.2309265,2012-10-23T11:29:04Z,2012-10-23T16:57:04Z,1.461219989,10.02444444,TRUE
